20230730-113324-6067 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,1138>
20230730-113324-6070 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,1139>
20230730-113324-6071 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,1138> to <0,1139>
20230730-113324-6074 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,1139> to <0,1140>
20230730-113332-4146 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,23339>
20230730-113332-4148 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,23341>
20230730-113334-7925 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,29611> to <0,29612>
20230730-113334-7926 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,29613> to <0,29613>
20230730-113350-0464 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,64507> to <0,64507>
20230730-113350-0630 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,64677>
20230730-113350-0631 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,64677> to <0,64678>
20230730-113350-0632 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,64678>
20230730-113350-0633 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,64678> to <0,64679>
20230730-113350-0635 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,64682>
20230730-113350-0636 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,64682> to <0,64682>
20230730-113350-0637 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,64683>
20230730-113350-0639 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,64683> to <0,64684>
20230730-113350-2750 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,65254> to <0,65255>
20230730-113350-3855 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,65659>
20230730-113350-3857 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,65659> to <0,65659>
20230730-113350-3858 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,65660>
20230730-113350-3859 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,65660> to <0,65660>
20230730-113350-3863 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,65662>
20230730-113400-1156 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,87750>
20230730-113401-8824 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,87751>
20230730-113401-8837 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,87750> to <0,87751>
20230730-113401-8838 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,87751> to <0,87751>
20230730-113401-8843 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,87751>
20230730-113401-8858 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,87751> to <0,87751>
20230730-113401-8919 00134 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,87752>
20230730-113401-8920 00134 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,87752> to <0,87752>
20230730-113401-9014 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113401-9015 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9016 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113401-9017 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 104
20230730-113401-9018 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 105
20230730-113401-9019 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113401-9021 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113401-9025 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113401-9036 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9038 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9039 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9040 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113401-9042 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113401-9044 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113401-9044 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 104
20230730-113401-9050 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9055 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113401-9060 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113401-9064 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113401-9065 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113401-9066 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113401-9070 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 104
20230730-113401-9071 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 105
20230730-113401-9072 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113401-9073 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113401-9074 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 107
20230730-113401-9075 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 107
20230730-113401-9078 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 107
20230730-113401-9079 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 108
20230730-113401-9079 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 109
20230730-113401-9081 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 109
20230730-113401-9085 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113401-9086 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9087 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113401-9090 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113401-9095 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9098 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9100 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9104 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9106 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9107 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9108 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9108 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9109 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113401-9111 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113401-9113 00134 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
