20230730-113324-7400 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1983> to <0,1984>
20230730-113324-7400 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1983> to <0,1984>
20230730-113324-7402 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1984> to <0,1985>
20230730-113324-7402 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1984> to <0,1985>
20230730-113336-0476 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31084> to <0,31086>
20230730-113336-0478 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31085> to <0,31087>
20230730-113336-0478 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31086> to <0,31087>
20230730-113346-5343 00057 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113346-9823 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113346-9824 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113346-9825 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113346-9826 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 104
20230730-113346-9827 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 105
20230730-113346-9828 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113346-9829 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 107
20230730-113346-9830 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 108
20230730-113346-9830 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 109
20230730-113346-9831 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113346-9832 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113346-9833 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9834 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9835 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9836 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 115
20230730-113346-9837 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 116
20230730-113346-9838 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 116
20230730-113346-9839 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 117
20230730-113346-9840 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 118
20230730-113346-9841 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 119
20230730-113346-9841 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 119
20230730-113346-9842 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 120
20230730-113346-9844 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 121
20230730-113346-9844 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 122
20230730-113346-9846 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 123
20230730-113346-9846 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 123
20230730-113346-9847 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 124
20230730-113346-9848 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 125
20230730-113346-9849 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 126
20230730-113346-9850 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 127
20230730-113346-9850 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 128
20230730-113346-9851 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 129
20230730-113346-9851 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 130
20230730-113346-9852 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9852 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9852 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 132
20230730-113346-9853 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9854 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9854 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9855 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9856 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9856 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9857 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9858 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9858 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9859 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9859 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9860 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9860 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9861 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 136
20230730-113346-9861 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9862 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9862 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9863 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9863 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9864 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9864 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9865 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9865 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9866 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9866 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9867 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9868 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9868 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9869 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9869 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9869 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9870 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9871 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 135
20230730-113346-9872 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9872 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9873 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9873 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9874 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9874 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9875 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9875 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9876 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9876 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9876 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9877 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9877 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9878 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 134
20230730-113346-9879 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9879 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9879 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9880 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9881 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9881 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9882 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9882 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9884 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9884 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9885 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9886 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 133
20230730-113346-9888 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9889 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9889 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9890 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9890 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 131
20230730-113346-9893 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 125
20230730-113346-9894 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 122
20230730-113346-9895 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 119
20230730-113346-9896 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 118
20230730-113346-9897 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 116
20230730-113346-9898 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9899 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9899 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9900 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9900 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9901 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113346-9902 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9903 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9903 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9904 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9904 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9904 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9905 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9905 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9906 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9906 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9907 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9907 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9908 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9908 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9909 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9909 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9909 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9910 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9910 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9911 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9911 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9912 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9912 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9913 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9914 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9915 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9916 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9916 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9917 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9917 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9917 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9918 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9919 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9920 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9920 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9921 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9921 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9922 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 112
20230730-113346-9923 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113346-9923 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113346-9924 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
20230730-113346-9925 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113346-9925 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113346-9926 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113346-9930 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 110
20230730-113346-9931 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 111
