20230730-113324-8212 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2308> to <0,2310>
20230730-113324-8214 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4387 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27128>
20230730-113334-4389 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27129>
20230730-113334-4400 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27138>
20230730-113334-4403 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27140>
20230730-113334-4407 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27129> to <0,27142>
20230730-113334-4410 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27136> to <0,27145>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9778 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37908> to <0,37911>
20230730-113338-9779 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37910> to <0,37911>
20230730-113340-6436 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42368> to <0,42370>
20230730-113342-9866 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48838> to <0,48841>
20230730-113342-9867 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0697 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57492> to <0,57501>
20230730-113347-0700 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57493> to <0,57502>
20230730-113347-0702 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57495> to <0,57503>
20230730-113347-0705 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57498> to <0,57506>
20230730-113347-2094 00056 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113347-2107 00056 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113350-0780 00056 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113351-9154 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9155 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9156 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9160 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9160 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9169 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9170 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9180 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9187 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9194 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9195 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9196 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9198 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-0571 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1274 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1287 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1288 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1298 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1300 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1305 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1306 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1311 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1312 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1314 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1315 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1332 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1338 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1340 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1341 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1342 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1343 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
