20230730-113324-8212 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2308> to <0,2309>
20230730-113324-8213 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4386 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27126>
20230730-113334-4387 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27127>
20230730-113334-4398 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27126> to <0,27136>
20230730-113334-4401 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27127> to <0,27137>
20230730-113334-4402 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27129> to <0,27139>
20230730-113334-4407 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27136> to <0,27142>
20230730-113337-6080 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,34645>
20230730-113337-6081 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9777 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37908>
20230730-113338-9779 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37910>
20230730-113340-6435 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,42368> to <0,42368>
20230730-113342-9865 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48838> to <0,48839>
20230730-113342-9867 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0694 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57492> to <0,57494>
20230730-113347-0697 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57493> to <0,57499>
20230730-113347-0698 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57495> to <0,57501>
20230730-113347-0700 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57498> to <0,57502>
20230730-113351-9157 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9161 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9170 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113351-9197 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1289 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1301 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1307 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1313 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1316 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1341 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1344 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1345 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1346 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1351 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1358 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1367 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1370 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1372 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1380 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1383 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1388 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1404 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1411 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1416 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
